round,start_ym,end_ym,season,total_start,total_end,pension_start,pension_end,pension_applicants,irp_start,irp_end,irp_applicants
2024_01,202402,202404,1,6227946,6306418,1126035,1153079,,273153,280033,
2024_02,202405,202407,2,6368044,6452348,1171643,1210748,,283482,290712,
2024_03,202408,202410,3,6477392,6519636,1224778,1246768,2874,293570,299612,5149
2024_04,202411,202501,4,6544002,6627437,1261514,1316062,14271,304609,322448,15844
2025_01,202502,202504,1,6659545,6714941,1336585,1364402,15629,327930,335078,7353
2025_02,202505,202507,2,6741570,6797340,1375588,1407309,11091,338929,351755,8744
2025_03,202508,202510,3,6828862,6923104,1424279,1477029,13876,358182,377162,8829
2025_04,202511,202601,4,6983865,7192259,1507907,1615178,24301,388942,436569,16722
2026_01,202602,202604,1,7304486,7437982,1668589,1736415,22478,453905,479816,4711
2026_02,202605,202607,2,7534835,7672547,1779881,1836227,23408,494511,513667,15916
2026_03,202608,202610,3,,,,,,,,
2026_04,202611,202701,4,,,,,,,,
2027_01,202702,202704,1,,,,,,,,
