round,month_end,kospi_close,kospi_trade,vkospi
# 시장 지표(#2) — KOSPI 월별(출처: KRX 주가지수 추이(월)). KOSDAQ는 중요도 낮아 미포함.
# 기준월말일자 = 각 회차 '종료연월'의 말일. kospi_close=월말 종가, kospi_trade=KRX 월 거래 원자료
# (거래대금/거래량, 단위 KRX 기준; 모델은 비율만 사용하므로 단위 무관). vkospi=변동성지수(현재 미보유).
# 값이 비면 시장배수=1.0(중립). 활성화: benchmarks.yaml market.*_elasticity>0.
# 주의: 2026_02(2026-07)은 KRX 스냅샷 시점(2026-07-24) 기준 '진행 중인 월'이라
#       kospi_trade(누적 거래)는 과소, kospi_close도 월말 확정값이 아닌 시점값이다.
# ── 실적(학습) 회차: KRX 실제 데이터 ──
2024_01,2024-04-30,2692.06,10642418,
2024_02,2024-07-31,2770.69,10790451,
2024_03,2024-10-31,2556.15,7744507,
2024_04,2025-01-31,2517.37,8301458,
2025_01,2025-04-30,2556.61,11379141,
2025_02,2025-07-31,3245.44,11312478,
2025_03,2025-10-31,4107.50,8657082,
2025_04,2026-01-31,5224.36,11550207,
2026_01,2026-04-30,6598.87,20838016,
2026_02,2026-07-31,6903.53,7353206,
# ── 예측 회차: 미래(KRX 미수록) → 실제값 없음. 시나리오 가정으로만 입력 ──
2026_03,2026-10-31,,,
2026_04,2027-01-31,,,
2027_01,2027-04-30,,,
