round_label,period,budget_eok,applicants,deposit_customers,condition_customers,net_deposit_eok,avg_deposit_man
# 연금저축 이벤트 실제 실행 실적(참고 추세 지표). 추첨 아님 — '당첨'=조건 충족 순입금자 전원지급.
# budget_eok=소요예산(억), applicants=신청, deposit_customers=순입금(전환), condition_customers=당첨(조건충족),
# net_deposit_eok=순입금액(억), avg_deposit_man=평균 순입금(만원).
# 파생: 전환율=순입금/신청, 조건충족률=당첨/순입금, 지급률=당첨/신청, 리워드/당첨=예산/당첨.
# 이벤트는 비정기(월/분기 혼재)로 진행되어 회차 기간이 상이함.
25.1Q,2025-01~03,4.34,12571,8262,3841,1410,1707
25.2Q,2025-04~06,2.93,7740,4827,1781,871,1804
25.7,2025-07,1.24,4063,2268,742,363,1601
25.8,2025-08,0.99,3618,2014,663,325,1614
25.9,2025-09,3.26,5194,3250,1572,838,2578
25.10-11,2025-10~11,2.32,9662,5608,2099,830,1480
25.12,2025-12,2.78,15706,9335,3644,1119,1199
26.1Q,2026-01~03,6.26,19831,13706,7136,2110,1539
26.4,2026-04,1.35,4274,2341,1056,384,1640
26.5-7,2026-05~07,5.18,14192,8740,4166,1409,1612
