고객ID,타사이전금액,혜택금액
R01-00000,7190000,20000
R01-00001,62380000,150000
R01-00002,53820000,150000
R01-00003,112380000,300000
R01-00004,54880000,150000
R01-00005,64340000,150000
R01-00006,3630000,0
R01-00007,99920000,300000
R01-00008,32700000,60000
R01-00009,55600000,150000
R01-00010,21420000,60000
R01-00011,72190000,300000
R01-00012,61630000,150000
R01-00013,123350000,300000
R01-00014,25770000,60000
R01-00015,23200000,60000
R01-00016,56240000,150000
R01-00017,3360000,0
R01-00018,41690000,150000
R01-00019,26160000,60000
R01-00020,61780000,150000
R01-00021,1410000,0
R01-00022,51890000,150000
R01-00023,20760000,60000
R01-00024,10800000,40000
R01-00025,61280000,150000
R01-00026,110710000,300000
R01-00027,38390000,150000
R01-00028,101780000,300000
R01-00029,5490000,20000
R01-00030,7570000,20000
R01-00031,26920000,60000
R01-00032,21980000,60000
R01-00033,62170000,150000
R01-00034,6270000,20000
R01-00035,34880000,150000
R01-00036,80670000,300000
R01-00037,33080000,60000
R01-00038,82210000,300000
R01-00039,27120000,60000
R01-00040,11350000,40000
R01-00041,84480000,300000
R01-00042,14640000,40000
R01-00043,53680000,150000
R01-00044,22040000,60000
R01-00045,36650000,150000
R01-00046,82550000,300000
R01-00047,2680000,0
R01-00048,24950000,60000
R01-00049,42880000,150000
R01-00050,5630000,20000
R01-00051,12840000,40000
R01-00052,13080000,40000
R01-00053,46730000,150000
R01-00054,21190000,60000
R01-00055,11570000,40000
R01-00056,94880000,300000
R01-00057,53270000,150000
R01-00058,380000,0
R01-00059,51930000,150000
R01-00060,34030000,150000
R01-00061,43750000,150000
R01-00062,31520000,60000
R01-00063,136130000,600000
R01-00064,14220000,40000
R01-00065,3110000,0
R01-00066,44660000,150000
R01-00067,43410000,150000
R01-00068,81550000,300000
R01-00069,58030000,150000
R01-00070,91590000,300000
R01-00071,15720000,40000
R01-00072,107400000,300000
R01-00073,51620000,150000
R01-00074,51590000,150000
R01-00075,34130000,150000
R01-00076,78770000,300000
R01-00077,77660000,300000
R01-00078,21550000,60000
R01-00079,32710000,60000
R01-00080,62300000,150000
R01-00081,44480000,150000
R01-00082,32940000,60000
R01-00083,71160000,300000
R01-00084,5840000,20000
R01-00085,105650000,300000
R01-00086,11000000,40000
R01-00087,4220000,0
R01-00088,4480000,0
R01-00089,83250000,300000
R01-00090,112540000,300000
R01-00091,29420000,60000
R01-00092,7860000,20000
R01-00093,140900000,600000
R01-00094,76150000,300000
R01-00095,32480000,60000
R01-00096,57210000,150000
R01-00097,6810000,20000
R01-00098,112360000,300000
R01-00099,22530000,60000
R01-00100,33500000,150000
R01-00101,102900000,300000
R01-00102,2380000,0
R01-00103,2990000,0
R01-00104,22760000,60000
R01-00105,22470000,60000
R01-00106,35360000,150000
R01-00107,23290000,60000
R01-00108,57050000,150000
R01-00109,3950000,0
R01-00110,53630000,150000
R01-00111,56580000,150000
R01-00112,12990000,40000
R01-00113,71270000,300000
R01-00114,82450000,300000
R01-00115,22440000,60000
R01-00116,1710000,0
R01-00117,72070000,300000
R01-00118,6170000,20000
R01-00119,12460000,40000
R01-00120,67190000,300000
R01-00121,31170000,60000
R01-00122,76600000,300000
R01-00123,33390000,150000
R01-00124,10340000,40000
R01-00125,86540000,300000
R01-00126,81820000,300000
R01-00127,46040000,150000
R01-00128,1370000,0
R01-00129,58710000,150000
R01-00130,31640000,60000
R01-00131,71170000,300000
R01-00132,102700000,300000
R01-00133,40700000,150000
R01-00134,67950000,300000
R01-00135,26010000,60000
R01-00136,86390000,300000
R01-00137,23860000,60000
R01-00138,33420000,150000
R01-00139,113930000,300000
R01-00140,56050000,150000
R01-00141,98610000,300000
R01-00142,31290000,60000
R01-00143,75480000,300000
R01-00144,13120000,40000
R01-00145,145070000,600000
R01-00146,45970000,150000
R01-00147,46870000,150000
R01-00148,52430000,150000
R01-00149,24880000,60000
R01-00150,54090000,150000
R01-00151,101490000,300000
R01-00152,125640000,300000
R01-00153,20960000,60000
R01-00154,53600000,150000
R01-00155,10530000,40000
R01-00156,43800000,150000
R01-00157,15310000,40000
R01-00158,103580000,300000
R01-00159,102950000,300000
R01-00160,34280000,150000
R01-00161,73080000,300000
R01-00162,2760000,0
R01-00163,3090000,0
R01-00164,1130000,0
R01-00165,61360000,150000
R01-00166,47160000,150000
R01-00167,13680000,40000
R01-00168,155640000,600000
R01-00169,2330000,0
R01-00170,131020000,300000
R01-00171,112950000,300000
R01-00172,74620000,300000
R01-00173,33590000,150000
R01-00174,21660000,60000
R01-00175,47920000,150000
R01-00176,17310000,40000
R01-00177,12890000,40000
R01-00178,64380000,150000
R01-00179,52270000,150000
R01-00180,82970000,300000
R01-00181,1940000,0
R01-00182,78770000,300000
R01-00183,41520000,150000
R01-00184,44530000,150000
R01-00185,76810000,300000
R01-00186,13360000,40000
R01-00187,65400000,150000
R01-00188,55230000,150000
R01-00189,45620000,150000
R01-00190,5960000,20000
R01-00191,108680000,300000
R01-00192,61780000,150000
R01-00193,110480000,300000
R01-00194,2760000,0
R01-00195,5870000,20000
R01-00196,151650000,600000
R01-00197,4910000,0
R01-00198,4140000,0
R01-00199,11660000,40000
R01-00200,3850000,0
R01-00201,43130000,150000
