고객ID,타사이전금액,혜택금액
R26-00000,7500000,20000
R26-00001,92950000,300000
R26-00002,24330000,60000
R26-00003,1970000,0
R26-00004,92020000,300000
R26-00005,82800000,300000
R26-00006,36540000,150000
R26-00007,45170000,150000
R26-00008,46290000,150000
R26-00009,82940000,300000
R26-00010,1870000,0
R26-00011,68410000,300000
R26-00012,67100000,300000
R26-00013,19450000,40000
R26-00014,92470000,300000
R26-00015,43050000,150000
R26-00016,62740000,150000
R26-00017,15420000,40000
R26-00018,55740000,150000
R26-00019,93150000,300000
R26-00020,1610000,0
R26-00021,35100000,150000
R26-00022,27940000,60000
R26-00023,48560000,150000
R26-00024,46370000,150000
R26-00025,41380000,150000
R26-00026,33110000,60000
R26-00027,13720000,40000
R26-00028,152490000,600000
R26-00029,12920000,40000
R26-00030,17570000,40000
R26-00031,133900000,600000
R26-00032,93480000,300000
R26-00033,31410000,60000
R26-00034,51300000,150000
R26-00035,54800000,150000
R26-00036,67070000,300000
R26-00037,2980000,0
R26-00038,91580000,300000
R26-00039,83500000,300000
R26-00040,128340000,300000
R26-00041,94280000,300000
R26-00042,2200000,0
R26-00043,17890000,40000
R26-00044,13970000,40000
R26-00045,42250000,150000
R26-00046,15570000,40000
R26-00047,46470000,150000
R26-00048,13360000,40000
R26-00049,2420000,0
R26-00050,24500000,60000
R26-00051,18190000,40000
R26-00052,33330000,60000
R26-00053,42870000,150000
R26-00054,13500000,40000
R26-00055,101710000,300000
R26-00056,32150000,60000
R26-00057,43350000,150000
R26-00058,41350000,150000
R26-00059,69390000,300000
R26-00060,2130000,0
R26-00061,33410000,150000
R26-00062,4760000,0
R26-00063,45140000,150000
R26-00064,5130000,20000
R26-00065,33560000,150000
R26-00066,2960000,0
R26-00067,5790000,20000
R26-00068,51990000,150000
R26-00069,61820000,150000
R26-00070,26130000,60000
R26-00071,105710000,300000
R26-00072,103700000,300000
R26-00073,77500000,300000
R26-00074,13660000,40000
R26-00075,138250000,600000
R26-00076,31940000,60000
R26-00077,62050000,150000
R26-00078,32490000,60000
R26-00079,3140000,0
R26-00080,34070000,150000
R26-00081,4870000,0
R26-00082,25020000,60000
R26-00083,45560000,150000
R26-00084,104760000,300000
R26-00085,21390000,60000
R26-00086,26370000,60000
R26-00087,57790000,150000
R26-00088,11710000,40000
R26-00089,10690000,40000
R26-00090,41360000,150000
