event_no,start_ym,end_ym,applicants,lt_5m,m5_10,m10_30,m30_50,m50_100,m100_200,m200_300,m300_plus
# 타사수관금액 구간별 고객 수 — 이벤트 회차별 실측(단위: 명).
# applicants = 총합계 고객 수(= 신청 고객). lt_5m 은 5백만원 미만(리워드 조건 미충족),
# 나머지 7개 구간이 '혜택지급' 대상이다. 각 행에서 lt_5m + 나머지 7개 = applicants.
#
# 구간은 '실제 타사수관금액' 기준이며, 리워드 구간표의 '인정실적'(1천만 이상 ×1.5배)과
# 경계 이름은 같지만 축이 다르다. tiers.py 가 ×1.5 규칙으로 환산해 리워드 구간에 매핑한다.
#
# 교차 검증: applicants 가 data/reference_deposit_events.csv 의 신청자수와 10건 중 9건
# 정확히 일치한다(1607 은 진행 경과로 16,356 → 17,399 갱신). 분포의 모집단이 '신청 고객'임이
# 이로써 확인된다.
1312,202501,202503,12571,9971,144,677,661,974,139,3,2
1377,202504,202506,7740,5907,89,384,472,730,152,6,0
1432,202507,202507,4063,3159,61,210,176,370,85,1,1
1439,202508,202508,3618,2776,34,188,203,342,72,2,1
1470,202509,202509,5194,3546,91,287,385,733,151,0,1
1501,202510,202511,9662,8036,104,403,393,574,147,2,3
1536,202512,202512,15706,13557,137,614,511,725,160,1,1
1559,202601,202603,19831,16301,205,916,830,1238,321,14,6
1581,202604,202604,4274,3439,52,199,184,309,86,4,1
1607,202605,202607,17399,13446,225,1005,904,1381,398,32,8
