예산_평균,유치이전금액_평균,효율_배,매력도지수,배수,리워드벡터
145412414,116780233379,803.1,0.5857,1.0,10000|20000|30000|70000|150000|300000|500000
152671625,117638015754,770.5,0.59,1.0,10000|10000|30000|80000|150000|300000|500000
156887863,118962888349,758.3,0.5967,1.0,10000|20000|30000|80000|140000|300000|500000
159252605,119451054416,750.1,0.5991,1.0,0|20000|30000|80000|150000|300000|500000
160113614,120273370343,751.2,0.6033,1.0,20000|30000|30000|70000|150000|300000|500000
164837198,120605552842,731.7,0.6049,1.0,10000|20000|30000|80000|160000|300000|500000
168125702,121551821228,723.0,0.6097,1.0,10000|20000|40000|80000|150000|300000|500000
171589063,122456025313,713.7,0.6142,1.0,20000|30000|30000|80000|140000|300000|500000
172690626,122844663662,711.4,0.6162,1.0,10000|30000|30000|80000|150000|300000|500000
175366211,123253318476,702.8,0.6182,1.0,20000|30000|30000|80000|150000|290000|500000
175449549,123263696893,702.6,0.6183,1.0,20000|30000|30000|80000|150000|300000|500000
175534804,123274478381,702.3,0.6183,1.0,20000|30000|30000|80000|150000|310000|500000
177797817,123312557188,693.6,0.6185,1.0,30000|30000|30000|80000|150000|300000|500000
179538398,124098689806,691.2,0.6225,1.0,20000|30000|30000|80000|160000|300000|500000
181206236,124663874267,688.0,0.6253,1.0,20000|40000|40000|70000|150000|300000|500000
182826902,125044958192,684.0,0.6272,1.0,20000|30000|40000|80000|150000|300000|500000
192256791,126414516170,657.5,0.6341,1.0,20000|30000|30000|90000|150000|300000|500000
192681685,126846529238,658.3,0.6363,1.0,20000|40000|40000|80000|140000|300000|500000
196458833,127643822401,649.7,0.6403,1.0,20000|40000|40000|80000|150000|290000|500000
196542171,127654200818,649.5,0.6403,1.0,20000|40000|40000|80000|150000|300000|500000
196627426,127664982305,649.3,0.6404,1.0,20000|40000|40000|80000|150000|310000|500000
198890439,127703061112,642.1,0.6406,1.0,30000|40000|40000|80000|150000|300000|500000
200631021,128489193730,640.4,0.6445,1.0,20000|40000|40000|80000|160000|300000|500000
206131980,128674052333,624.2,0.6454,1.0,10000|30000|30000|80000|220000|450000|750000
208772402,129077002773,618.3,0.6474,1.0,20000|30000|30000|80000|220000|440000|750000
208890903,129093085564,618.0,0.6475,1.0,20000|30000|30000|80000|220000|450000|750000
209012011,129109451856,617.7,0.6475,1.0,20000|30000|30000|80000|220000|460000|750000
211239171,129141945859,611.4,0.6477,1.0,30000|30000|30000|80000|220000|450000|750000
213349413,130805020095,613.1,0.6561,1.0,20000|40000|40000|90000|150000|300000|500000
216268256,130874346863,605.1,0.6564,1.0,20000|30000|40000|80000|220000|450000|750000
217626465,131340696989,603.5,0.6588,1.0,20000|30000|40000|100000|150000|300000|500000
225118251,132772410392,589.8,0.666,1.0,20000|40000|40000|80000|210000|450000|750000
229865024,133467506697,580.6,0.6694,1.0,20000|40000|40000|80000|220000|440000|750000
229983526,133483589489,580.4,0.6695,1.0,20000|40000|40000|80000|220000|450000|750000
230104633,133499955780,580.2,0.6696,1.0,20000|40000|40000|80000|220000|460000|750000
231341734,133949939616,579.0,0.6719,1.0,20000|40000|40000|100000|150000|300000|500000
234865140,134142615627,571.1,0.6728,1.0,20000|40000|40000|80000|230000|450000|750000
